"","P37ST","S15","S16","S17","S14","S28D","P49ST.A","P49ST.B","P49ST.E","P76ST","P10ST","P4ST","S1NICC7","P6ST","P12ST","P13ST","IDENPA"
"3913","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",27,"Baja","No","5","NS/NR","7","5","Está progresando","Igual","Bastante","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"7465","La política no es tan complicada y se entiende","Soltero","Masculino",24,"Media","Sí","6","3","8","5","Está progresando","Un poco mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"245","La política es tan complicada que no se entiende","Soltero","Masculino",28,"Media","Sí","10 Totalmente democrático","NS/NR","NS/NR","5","Está estancado","Un poco mejor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"2242","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",26,"Media baja","Sí","5","7","7","6","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"17994","La política no es tan complicada y se entiende","Soltero","Femenino",23,"Media","Sí","8","7","7","5","Está progresando","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"3748","La política es tan complicada que no se entiende","Soltero","Masculino",44,"Media baja","No","6","7","5","7","Está progresando","Un poco mejor","Poco","Regular","Justa","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"1247","La política es tan complicada que no se entiende","Soltero","Masculino",20,"Media","Sí","5","5","9","5","Está estancado","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"3765","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",23,"Media","No","3","5","8","2","Está estancado","Un poco mejor","Mucho","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"18476","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",76,"Baja","No","10 Totalmente democrático","NS/NR","9","NS/NR","Está en retroceso","Un poco peor","Mucho","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"3925","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",33,"Media baja","No","6","8","8","6","Está estancado","Un poco peor","Poco","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"4434","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",48,"Baja","No","5","6","6","5","Está en retroceso","Igual","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"6354","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",59,"Media","Sí","01 No es democrático","2","4","NS/NR","Está estancado","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"2670","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",69,"Media","Sí","8","8","6","NS/NR","Está estancado","Un poco mejor","NS/NR","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Brazil"
"6134","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",51,"Media","Sí","7","10 Totalmente democrático","10 Totalmente democrático","7","Está progresando","Igual","Poco","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"18148","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",56,"Media baja","No","6","3","6","00 Izquierda","Está progresando","Igual","Mucho","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"18420","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",43,"Media","No","5","5","5","5","Está en retroceso","Igual","Mucho","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"19811","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",24,"Media","No","8","3","8","00 Izquierda","Está progresando","Igual","Mucho","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"6608","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",47,"Media","Sí","8","6","8","7","Está progresando","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"1222","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",52,"Media","Sí","6","5","8","5","Está estancado","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"19648","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",47,"Baja","No","7","6","7","2","Está progresando","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"19541","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",23,"Media baja","Sí","5","3","3","6","Está en retroceso","Un poco peor","Bastante","Buena","NS/NR","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"7185","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",60,"Baja","No","8","10 Totalmente democrático","7","8","Está progresando","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"4234","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",43,"Media baja","Sí","7","9","8","3","Está estancado","Igual","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3248","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",55,"Baja","Sí","6","6","NS/NR","3","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"3228","La política es tan complicada que no se entiende","Soltero","Femenino",35,"Baja","No","NS/NR","NS/NR","NS/NR","NS/NR","Está estancado","NS/NR","Mucho","Mala","Injusta","NS/NR","Brazil"
"7379","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",23,"Media baja","No","7","8","7","7","Está estancado","Igual","Mucho","Mala","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"2963","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",61,"Media","Sí","8","9","6","2","Está progresando","Un poco mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"19421","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",19,"Media baja","No","9","8","7","6","Está estancado","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"1874","La política no es tan complicada y se entiende","Soltero","Femenino",26,"Media alta","Sí","5","7","8","5","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"18209","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",25,"Baja","No","10 Totalmente democrático","5","7","00 Izquierda","Está progresando","Un poco mejor","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"16414","La política es tan complicada que no se entiende","Soltero","Femenino",56,"Media baja","No","4","8","8","5","Está en retroceso","Un poco peor","NS/NR","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"19702","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",68,"Media","Sí","4","10 Totalmente democrático","10 Totalmente democrático","10 Derecha","Está en retroceso","Mucho peor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"4341","La política es tan complicada que no se entiende","Soltero","Femenino",18,"Media","Sí","5","7","7","6","Está progresando","Mucho mejor","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"15715","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",41,"Media","Sí","6","4","8","5","Está estancado","Un poco mejor","Poco","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Peru"
"2556","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",32,"Media","Sí","7","7","7","5","Está estancado","Mucho mejor","Poco","Buena","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Brazil"
"15678","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",31,"Media baja","No","5","6","5","4","Está progresando","Igual","Bastante","Mala","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Peru"
"1041","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",44,"Alta","Sí","10 Totalmente democrático","9","7","NS/NR","Está progresando","Un poco mejor","Bastante","Muy buena","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"19943","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",68,"Media","No","9","6","6","00 Izquierda","Está progresando","Un poco mejor","Poco","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"16459","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",58,"Media","Sí","8","8","8","00 Izquierda","Está progresando","Mucho mejor","Poco","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Peru"
"18546","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",66,"Baja","Sí","8","10 Totalmente democrático","8","5","Está estancado","Mucho peor","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Uruguay"
"18383","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",60,"Media baja","No","9","NS/NR","NS/NR","7","Está progresando","Un poco mejor","Poco","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"7903","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",58,"Baja","No","5","6","7","NS/NR","Está en retroceso","Un poco peor","Bastante","Regular","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"7908","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",23,"Baja","No","5","7","4","5","Está progresando","Igual","Bastante","Regular","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"4789","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",25,"Media baja","No","6","6","7","5","Está progresando","Mucho mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"995","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",58,"Media","Sí","8","7","6","5","Está estancado","Igual","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"16070","La política no es tan complicada y se entiende","Soltero","Femenino",27,"Media baja","No","4","9","9","5","Está progresando","Un poco mejor","Nada","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"20","La política no es tan complicada y se entiende","NS/NR","Femenino",28,"Media","Sí","10 Totalmente democrático","5","8","8","Está progresando","Un poco mejor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"15142","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",71,"Baja","No","7","7","6","7","Está estancado","Un poco mejor","Mucho","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"14647","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",39,"Media baja","NS/NR","9","8","8","NS/NR","Está estancado","Igual","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"7803","La política es tan complicada que no se entiende","Soltero","Masculino",36,"Media","Sí","8","9","7","1","Está progresando","Un poco peor","Poco","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"4794","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",38,"Baja","No","10 Totalmente democrático","8","7","9","Está en retroceso","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"15170","La política no es tan complicada y se entiende","Soltero","Masculino",18,"Baja","No","6","10 Totalmente democrático","7","NS/NR","Está estancado","Mucho mejor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"1958","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",40,"Media","Sí","5","6","6","7","Está estancado","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"5951","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",52,"Media","Sí","8","8","5","5","Está estancado","Un poco mejor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"6504","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",76,"Media baja","No","6","5","5","1","Está estancado","Igual","Mucho","Mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"19109","La política es tan complicada que no se entiende","Soltero","Femenino",28,"Media baja","Sí","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","1","Está progresando","Igual","Mucho","Mala","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"15022","La política no es tan complicada y se entiende","Soltero","Femenino",33,"Baja","No","9","9","9","5","Está estancado","Igual","Bastante","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"19586","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",66,"Media","No","3","5","4","4","NS/NR","Un poco peor","Mucho","Mala","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Venezuela"
"7324","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",25,"Baja","No","2","2","2","1","Está estancado","Un poco peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"15471","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",40,"Media baja","No","6","7","5","7","Está progresando","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"4414","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",73,"Media","No","6","7","6","6","Está progresando","Un poco mejor","Bastante","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"7174","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",31,"Baja","No","5","8","6","9","Está progresando","Un poco peor","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"19720","La política es tan complicada que no se entiende","Soltero","Femenino",30,"Media","No","5","8","5","5","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"7315","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",33,"Baja","No","7","10 Totalmente democrático","8","5","Está progresando","Un poco mejor","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"20126","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",50,"Media baja","No","6","10 Totalmente democrático","5","6","Está estancado","Un poco mejor","Poco","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"14884","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",27,"Media","Sí","6","9","10 Totalmente democrático","NS/NR","Está progresando","Un poco mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"19469","La política no es tan complicada y se entiende","Soltero","Masculino",40,"Media alta","Sí","2","10 Totalmente democrático","10 Totalmente democrático","10 Derecha","Está en retroceso","Un poco peor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"14748","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",26,"Media","No","7","10 Totalmente democrático","6","8","Está progresando","Un poco mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"4063","La política no es tan complicada y se entiende","Soltero","Masculino",19,"Alta","No","5","8","10 Totalmente democrático","9","Está progresando","Igual","Mucho","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3294","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",67,"NS/NR","Sí","NS/NR","NS/NR","NS/NR","NS/NR","NS/NR","Igual","Mucho","Buena","Injusta","NS/NR","Brazil"
"2072","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",22,"Media baja","No","2","01 No es democrático","2","NS/NR","NS/NR","Un poco peor","Bastante","Regular","NS/NR","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"14460","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",60,"Baja","Sí","4","3","5","6","Está estancado","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"3366","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",37,"Media","Sí","5","6","3","NS/NR","Está en retroceso","Igual","Bastante","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"19246","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",30,"Baja","Sí","10 Totalmente democrático","8","10 Totalmente democrático","NS/NR","Está estancado","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"16071","La política no es tan complicada y se entiende","Soltero","Femenino",40,"Media baja","Sí","3","5","01 No es democrático","5","Está estancado","Igual","Bastante","Mala","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Peru"
"18953","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",20,"Media","Sí","10 Totalmente democrático","7","9","3","Está progresando","Un poco mejor","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"19920","La política no es tan complicada y se entiende","Soltero","Masculino",42,"Baja","No","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","9","Está en retroceso","Igual","Poco","Regular","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Venezuela"
"5901","La política es tan complicada que no se entiende","Soltero","Masculino",45,"Media baja","No","9","9","5","NS/NR","Está progresando","Un poco peor","Bastante","Mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"18959","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",64,"Media baja","No","9","9","9","NS/NR","Está estancado","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"15541","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",52,"Media","No","10 Totalmente democrático","9","9","NS/NR","Está estancado","Mucho peor","Mucho","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Paraguay"
"1802","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",52,"Media","No","5","5","4","NS/NR","Está estancado","Un poco peor","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Bolivia"
"14918","La política es tan complicada que no se entiende","Soltero","Femenino",25,"Media","No","7","4","4","9","Está en retroceso","Un poco mejor","Bastante","Buena","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"911","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",40,"Baja","Sí","6","6","6","NS/NR","Está progresando","Igual","Bastante","Mala","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"7267","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",67,"Media baja","No","5","6","8","4","Está en retroceso","Igual","Mucho","Buena","Muy justa","A la gente como uno, nos da lo mismo un régimen democrático","Ecuador"
"14706","La política no es tan complicada y se entiende","Soltero","Femenino",26,"Media","No","7","9","10 Totalmente democrático","6","Está progresando","Un poco mejor","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"4197","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",32,"Media baja","Sí","6","7","6","NS/NR","Está estancado","Igual","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"7589","La política es tan complicada que no se entiende","Soltero","Masculino",21,"Media baja","No","4","7","2","NS/NR","Está estancado","Igual","Bastante","Regular","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"1843","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",33,"Media","No","5","4","6","5","Está estancado","Mucho peor","Bastante","Buena","NS/NR","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"7800","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",62,"Baja","No","7","9","9","5","Está estancado","Un poco peor","Bastante","Mala","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Ecuador"
"4253","La política es tan complicada que no se entiende","Soltero","Masculino",23,"Media","Sí","9","8","7","4","Está progresando","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"6300","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",31,"Media","No","6","7","4","NS/NR","Está estancado","Igual","Mucho","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Chile"
"16346","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",30,"Media baja","No","5","8","9","5","Está estancado","Un poco peor","Mucho","Regular","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Peru"
"2630","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",57,"Media baja","No","10 Totalmente democrático","10 Totalmente democrático","7","8","Está estancado","Igual","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"7299","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",63,"Media","Sí","6","6","9","5","NS/NR","Igual","Mucho","Regular","Justa","A la gente como uno, nos da lo mismo un régimen democrático","Ecuador"
"297","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",21,"Baja","No","10 Totalmente democrático","NS/NR","NS/NR","8","Está progresando","Igual","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"6977","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",41,"Media baja","Sí","9","10 Totalmente democrático","10 Totalmente democrático","5","Está progresando","Igual","NS/NR","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Chile"
"19250","La política no es tan complicada y se entiende","Soltero","Femenino",48,"Media baja","Sí","10 Totalmente democrático","6","8","2","Está progresando","Un poco mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"18440","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",62,"Media baja","No","8","5","6","6","Está progresando","Un poco peor","Bastante","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Uruguay"
"19471","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",45,"Media","Sí","4","10 Totalmente democrático","10 Totalmente democrático","10 Derecha","Está en retroceso","Mucho peor","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"939","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",49,"Media","Sí","6","5","4","6","Está progresando","Mucho peor","Bastante","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Argentina"
"18076","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",62,"Media","Sí","10 Totalmente democrático","4","8","5","Está progresando","Mucho mejor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"19789","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",31,"Media","Sí","8","7","7","1","Está progresando","Igual","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Venezuela"
"3120","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",22,"Baja","Sí","3","5","4","4","Está progresando","Un poco mejor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"1319","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",60,"Media","No","4","7","8","5","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"20202","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",40,"Media alta","Sí","8","9","8","10 Derecha","Está estancado","Igual","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"4261","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",35,"Media baja","No","4","2","8","NS/NR","Está estancado","Igual","Mucho","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"14583","La política es tan complicada que no se entiende","Soltero","Masculino",35,"Baja","No","6","8","8","NS/NR","Está progresando","Un poco mejor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"3699","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",20,"Media","No","3","2","6","4","Está progresando","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"1749","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",30,"Media","No","01 No es democrático","7","9","NS/NR","Está en retroceso","Un poco peor","Bastante","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Bolivia"
"6916","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",68,"Media baja","No","5","NS/NR","NS/NR","5","Está estancado","Igual","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"16744","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",61,"Media","No","4","5","9","5","Está estancado","Igual","NS/NR","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"6487","La política es tan complicada que no se entiende","Soltero","Femenino",46,"Baja","No","NS/NR","NS/NR","NS/NR","NS/NR","Está progresando","Igual","Poco","Regular","NS/NR","A la gente como uno, nos da lo mismo un régimen democrático","Chile"
"3959","La política es tan complicada que no se entiende","Soltero","Masculino",38,"Baja","No","4","2","5","8","Está estancado","Igual","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"15623","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",49,"Media","Sí","8","7","7","3","Está progresando","Igual","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"6120","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",70,"Baja","No","9","10 Totalmente democrático","NS/NR","7","Está en retroceso","Un poco peor","Mucho","Mala","NS/NR","A la gente como uno, nos da lo mismo un régimen democrático","Chile"
"18706","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",51,"Media","Sí","5","5","3","8","Está en retroceso","Un poco peor","Bastante","Regular","NS/NR","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"363","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",80,"Media alta","Sí","7","7","7","7","Está progresando","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"627","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",41,"Media baja","Sí","9","9","9","NS/NR","Está en retroceso","Igual","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"6500","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",60,"Media","Sí","6","8","8","4","Está estancado","Igual","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"4561","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",56,"Baja","Sí","8","5","7","5","NS/NR","Un poco peor","Poco","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"14768","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",61,"Media baja","No","4","6","7","5","Está estancado","Igual","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"6770","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",45,"Media baja","Sí","7","9","8","5","Está progresando","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"7110","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",32,"Media baja","No","4","6","8","3","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"15290","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",41,"Media baja","No","8","6","7","8","Está estancado","Un poco peor","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
