@relation R_data_frame

@attribute S1NICC7 {Bastante,Mucho,NS/NR,'Poco - Nada'}
@attribute S15 {'Casado/ Conviviente',NS/NR,Separado/Divorciado/Viudo,Soltero}
@attribute S16 {Femenino,Masculino}
@attribute S17 numeric
@attribute S14 {Alta,Baja,Media,'Media alta','Media baja',NS/NR}
@attribute S28D {No,NS/NR,Sí}
@attribute P49ST.A {Democrático,'Ni Demo-Ni No Demo','No Democrático',NS/NR}
@attribute P76ST {Centro,Derecha,Izquierda,NS/NR}
@attribute IDENPA {Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Paraguay,Peru,Uruguay,Venezuela}
@attribute P1ST {'Bastante satisfecho','Muy satisfecho','No muy satisfecho',NS/NR,'Para nada satisfecho'}
@attribute P3ST.A {Buena,Mala,'Muy buena','Muy mala',NS/NR,Regular}
@attribute P3ST.B {Buena,Mala,'Muy buena','Muy mala',NS/NR,Regular}
@attribute P4ST {Igual,'Mucho mejor','Mucho peor',NS/NR,'Un poco mejor','Un poco peor'}
@attribute P10ST {'Está progresando','No está progresando'}
@attribute P15N {Empeorado,Mejorado,NS/NR,'Se ha mantenido igual'}
@attribute P19ST {'Grupos poderosos en su propio beneficio',NS/NR,'Para el bien de todo el pueblo'}
@attribute P28NE {Empeorará,Mejorará,NS/NR,'Seguirá igual'}
@attribute P65ST {'No tiene los medios',NS/NR,'Tiene los medios'}
@attribute P6ST {Buena,Mala,'Muy buena','Muy mala',NS/NR,Regular}
@attribute P12ST {Injusta,Justa,'Muy injusta','Muy justa',NS/NR}
@attribute P13ST {'A la gente como uno, nos da lo mismo un régimen democrático','En algunas circunstancias, un gobierno autoritario puede ser','La democracia es preferible a cualquier otra forma de gobier',NS/NR}

@data
'Poco - Nada',Separado/Divorciado/Viudo,Femenino,78,Baja,No,Democrático,NS/NR,Peru,'No muy satisfecho',Mala,NS/NR,'Un poco peor','No está progresando',Empeorado,NS/NR,NS/NR,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Femenino,27,Media,Sí,'Ni Demo-Ni No Demo',NS/NR,Peru,'No muy satisfecho',Regular,Regular,Igual,'No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Masculino,30,Media,Sí,'Ni Demo-Ni No Demo',Izquierda,Peru,'Muy satisfecho',Regular,Regular,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
'Poco - Nada','Casado/ Conviviente',Femenino,43,'Media baja',No,'Ni Demo-Ni No Demo',NS/NR,Peru,'No muy satisfecho',Regular,NS/NR,Igual,'No está progresando','Se ha mantenido igual','Para el bien de todo el pueblo','Seguirá igual','Tiene los medios',Mala,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Soltero,Masculino,28,'Media baja',Sí,Democrático,Derecha,Peru,'Muy satisfecho',Regular,Regular,Igual,'Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Buena,'Muy injusta','En algunas circunstancias, un gobierno autoritario puede ser'
'Poco - Nada','Casado/ Conviviente',Femenino,53,Media,Sí,'Ni Demo-Ni No Demo',NS/NR,Peru,'Bastante satisfecho',Regular,Regular,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
'Poco - Nada',Soltero,Masculino,22,Media,Sí,Democrático,NS/NR,Peru,'Muy satisfecho',Regular,Regular,'Un poco mejor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Masculino,54,'Media baja',Sí,Democrático,Centro,Peru,'No muy satisfecho',Regular,Regular,Igual,'No está progresando','Se ha mantenido igual','Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Mala,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
'Poco - Nada','Casado/ Conviviente',Femenino,22,Media,No,Democrático,NS/NR,Peru,'No muy satisfecho',Regular,Mala,'Un poco peor','Está progresando','Se ha mantenido igual','Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Regular,Justa,'La democracia es preferible a cualquier otra forma de gobier'
NS/NR,Soltero,Femenino,38,'Media baja',No,'Ni Demo-Ni No Demo',Centro,Peru,'No muy satisfecho',Regular,Mala,'Mucho peor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Empeorará,'No tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
'Poco - Nada',Soltero,Masculino,21,Media,No,'Ni Demo-Ni No Demo',Centro,Peru,'Bastante satisfecho',Regular,Regular,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','No tiene los medios',Buena,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Masculino,31,'Media baja',No,'Ni Demo-Ni No Demo',Centro,Peru,'Bastante satisfecho',Mala,Mala,'Un poco mejor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,'Muy injusta','A la gente como uno, nos da lo mismo un régimen democrático'
NS/NR,'Casado/ Conviviente',Femenino,52,'Media baja',No,'Ni Demo-Ni No Demo',Centro,Peru,'No muy satisfecho',Regular,Regular,'Mucho peor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios','Muy mala',Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Masculino,63,Baja,No,'No Democrático',Centro,Peru,'No muy satisfecho',Regular,Mala,Igual,'No está progresando',Empeorado,'Grupos poderosos en su propio beneficio','Seguirá igual','No tiene los medios',Regular,'Muy injusta','A la gente como uno, nos da lo mismo un régimen democrático'
'Poco - Nada',Separado/Divorciado/Viudo,Femenino,60,Baja,No,'Ni Demo-Ni No Demo',Centro,Peru,'Bastante satisfecho',Regular,Regular,Igual,'No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Empeorará,'Tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
'Poco - Nada',Soltero,Femenino,28,Media,Sí,'Ni Demo-Ni No Demo',Centro,Peru,'Muy satisfecho',Regular,Regular,Igual,'Está progresando',Mejorado,'Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
NS/NR,'Casado/ Conviviente',Femenino,34,Media,No,'Ni Demo-Ni No Demo',Centro,Peru,'Bastante satisfecho',Regular,Regular,Igual,'No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Empeorará,'Tiene los medios',Regular,'Muy injusta','A la gente como uno, nos da lo mismo un régimen democrático'
NS/NR,'Casado/ Conviviente',Masculino,58,'Media baja',No,'Ni Demo-Ni No Demo',Izquierda,Peru,'No muy satisfecho',Regular,Mala,'Un poco mejor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Soltero,Masculino,18,Media,No,Democrático,Centro,Peru,'Bastante satisfecho',Regular,Buena,'Un poco mejor','Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Buena,'Muy injusta','A la gente como uno, nos da lo mismo un régimen democrático'
'Poco - Nada','Casado/ Conviviente',Masculino,34,'Media baja',No,'Ni Demo-Ni No Demo',Centro,Peru,'No muy satisfecho',Regular,Regular,'Un poco mejor','Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Justa,'La democracia es preferible a cualquier otra forma de gobier'
NS/NR,'Casado/ Conviviente',Femenino,47,Baja,No,'No Democrático',NS/NR,Peru,'Bastante satisfecho',Mala,Mala,'Un poco peor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,'Muy injusta',NS/NR
Mucho,'Casado/ Conviviente',Masculino,59,'Media baja',No,'Ni Demo-Ni No Demo',Derecha,Peru,'No muy satisfecho',Regular,Regular,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','No tiene los medios',Buena,Justa,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Femenino,20,'Media baja',No,Democrático,Derecha,Peru,'No muy satisfecho',Regular,Buena,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Masculino,19,'Media baja',No,Democrático,Centro,Peru,'No muy satisfecho',NS/NR,Mala,'Un poco peor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Masculino,70,NS/NR,No,'Ni Demo-Ni No Demo',NS/NR,Peru,'No muy satisfecho',Regular,Regular,'Un poco peor','No está progresando','Se ha mantenido igual','Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
'Poco - Nada','Casado/ Conviviente',Masculino,38,'Media alta',No,Democrático,Derecha,Peru,'No muy satisfecho',Regular,Regular,'Un poco peor','Está progresando','Se ha mantenido igual','Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Regular,Justa,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Femenino,29,NS/NR,No,Democrático,Derecha,Peru,'No muy satisfecho',Regular,Regular,Igual,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
'Poco - Nada',Separado/Divorciado/Viudo,Femenino,49,'Media baja',Sí,NS/NR,NS/NR,Peru,'Bastante satisfecho',Mala,Mala,'Un poco peor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
'Poco - Nada',Soltero,Femenino,53,NS/NR,No,Democrático,NS/NR,Peru,'No muy satisfecho',Mala,Mala,'Un poco peor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Mala,Justa,'En algunas circunstancias, un gobierno autoritario puede ser'
Mucho,'Casado/ Conviviente',Masculino,73,NS/NR,No,'Ni Demo-Ni No Demo',Derecha,Peru,'No muy satisfecho',Buena,Regular,'Un poco peor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Regular,Justa,'A la gente como uno, nos da lo mismo un régimen democrático'
Bastante,Soltero,Femenino,25,NS/NR,No,Democrático,Derecha,Peru,'No muy satisfecho',Regular,Regular,Igual,'No está progresando','Se ha mantenido igual','Para el bien de todo el pueblo','Seguirá igual','Tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
NS/NR,'Casado/ Conviviente',Masculino,28,'Media baja',No,'Ni Demo-Ni No Demo',Centro,Peru,'No muy satisfecho',Regular,Regular,Igual,'No está progresando','Se ha mantenido igual','Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Regular,Justa,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Soltero,Femenino,36,Media,No,'Ni Demo-Ni No Demo',Derecha,Peru,'Bastante satisfecho',Regular,Regular,Igual,'No está progresando','Se ha mantenido igual','Para el bien de todo el pueblo','Seguirá igual','Tiene los medios',Regular,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
'Poco - Nada',Soltero,Femenino,47,Baja,No,Democrático,Derecha,Peru,'No muy satisfecho',Mala,Regular,Igual,'No está progresando','Se ha mantenido igual','Para el bien de todo el pueblo','Seguirá igual','Tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
Bastante,'Casado/ Conviviente',Femenino,46,'Media baja',No,Democrático,Centro,Peru,'Bastante satisfecho',Regular,Regular,Igual,'No está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios','Muy buena','Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Soltero,Masculino,21,'Media baja',No,'Ni Demo-Ni No Demo',Izquierda,Peru,'Bastante satisfecho',Buena,Buena,Igual,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,NS/NR,Regular,Justa,'En algunas circunstancias, un gobierno autoritario puede ser'
'Poco - Nada','Casado/ Conviviente',Femenino,29,Baja,No,NS/NR,NS/NR,Peru,'Bastante satisfecho',Regular,Regular,'Un poco mejor','No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Soltero,Masculino,46,Baja,No,'Ni Demo-Ni No Demo',NS/NR,Peru,'Muy satisfecho',Regular,Regular,'Un poco mejor','Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Buena,NS/NR,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,Soltero,Masculino,23,Baja,No,Democrático,Centro,Peru,'Bastante satisfecho',Regular,Regular,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Mala,NS/NR,'La democracia es preferible a cualquier otra forma de gobier'
NS/NR,'Casado/ Conviviente',Femenino,35,Baja,No,NS/NR,NS/NR,Peru,'Bastante satisfecho',Buena,Buena,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,Justa,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,Separado/Divorciado/Viudo,Femenino,70,Baja,No,'Ni Demo-Ni No Demo',NS/NR,Peru,'No muy satisfecho',Mala,Regular,Igual,'No está progresando',NS/NR,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Mala,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Soltero,Masculino,24,Baja,No,NS/NR,Centro,Peru,'No muy satisfecho',Mala,Mala,Igual,'No está progresando',Empeorado,'Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Mala,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Femenino,42,Baja,Sí,Democrático,Centro,Peru,'Bastante satisfecho',Mala,Regular,'Un poco peor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',NS/NR,'No tiene los medios',Mala,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Soltero,Masculino,35,'Media baja',Sí,'Ni Demo-Ni No Demo',Centro,Peru,'No muy satisfecho',Regular,Mala,'Un poco peor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Regular,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Masculino,60,Baja,No,'No Democrático',NS/NR,Peru,'Muy satisfecho',Mala,Mala,'Un poco peor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Empeorará,'Tiene los medios',Mala,'Muy injusta','A la gente como uno, nos da lo mismo un régimen democrático'
Bastante,'Casado/ Conviviente',Masculino,69,Baja,No,'Ni Demo-Ni No Demo',Centro,Peru,'No muy satisfecho',Mala,Regular,Igual,'Está progresando','Se ha mantenido igual','Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Femenino,38,Baja,No,'No Democrático',Centro,Peru,'Bastante satisfecho',Regular,Buena,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,NS/NR,'La democracia es preferible a cualquier otra forma de gobier'
NS/NR,'Casado/ Conviviente',Femenino,22,Baja,No,'Ni Demo-Ni No Demo',Centro,Peru,'Bastante satisfecho',Regular,Buena,NS/NR,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Justa,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Masculino,30,Baja,No,'No Democrático',NS/NR,Peru,'No muy satisfecho',Regular,Regular,Igual,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Soltero,Masculino,24,Media,Sí,'Ni Demo-Ni No Demo',Centro,Peru,'No muy satisfecho',Regular,Mala,'Un poco mejor','Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
'Poco - Nada','Casado/ Conviviente',Femenino,24,Media,Sí,'Ni Demo-Ni No Demo',Centro,Peru,'No muy satisfecho',Regular,Regular,'Un poco peor','Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Empeorará,'No tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
Bastante,Soltero,Femenino,38,Media,No,'Ni Demo-Ni No Demo',Centro,Peru,'No muy satisfecho',Regular,Mala,'Un poco peor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Mala,'Muy injusta','En algunas circunstancias, un gobierno autoritario puede ser'
'Poco - Nada','Casado/ Conviviente',Masculino,60,Media,Sí,Democrático,Centro,Peru,'Bastante satisfecho',Buena,Regular,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Buena,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Separado/Divorciado/Viudo,Masculino,56,'Media baja',Sí,'Ni Demo-Ni No Demo',Centro,Peru,'No muy satisfecho',Mala,Mala,'Mucho peor','Está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Mala,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Masculino,27,'Media baja',Sí,'Ni Demo-Ni No Demo',Izquierda,Peru,'Muy satisfecho',Regular,Mala,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Regular,Justa,NS/NR
Bastante,Separado/Divorciado/Viudo,Femenino,33,Media,Sí,'Ni Demo-Ni No Demo',Centro,Peru,'No muy satisfecho',Regular,Mala,'Mucho mejor','Está progresando',NS/NR,'Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Regular,NS/NR,'En algunas circunstancias, un gobierno autoritario puede ser'
'Poco - Nada','Casado/ Conviviente',Femenino,22,Media,No,'Ni Demo-Ni No Demo',Derecha,Peru,'Muy satisfecho',Regular,Regular,'Mucho mejor','Está progresando',Mejorado,NS/NR,'Seguirá igual','Tiene los medios',Buena,Justa,'La democracia es preferible a cualquier otra forma de gobier'
NS/NR,'Casado/ Conviviente',Masculino,62,Media,No,'No Democrático',Centro,Peru,'No muy satisfecho',Regular,Regular,Igual,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,NS/NR,NS/NR
NS/NR,'Casado/ Conviviente',Femenino,49,Media,No,Democrático,Izquierda,Peru,'No muy satisfecho',Regular,Regular,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Regular,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Separado/Divorciado/Viudo,Femenino,68,'Media baja',Sí,'Ni Demo-Ni No Demo',Izquierda,Peru,'No muy satisfecho',Regular,Mala,'Un poco mejor','Está progresando',NS/NR,NS/NR,Mejorará,'Tiene los medios',Regular,NS/NR,NS/NR
'Poco - Nada',Soltero,Masculino,27,'Media baja',Sí,'No Democrático',Izquierda,Peru,'Bastante satisfecho',Buena,Buena,Igual,'Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Masculino,46,'Media alta',Sí,'Ni Demo-Ni No Demo',Izquierda,Peru,'Bastante satisfecho',Regular,Regular,Igual,'Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Regular,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
'Poco - Nada',Soltero,Masculino,18,Media,Sí,'Ni Demo-Ni No Demo',Derecha,Peru,'Muy satisfecho',Regular,Regular,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Regular,Justa,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Separado/Divorciado/Viudo,Masculino,41,Media,No,'Ni Demo-Ni No Demo',Centro,Peru,'Para nada satisfecho',Regular,'Muy buena',Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Femenino,23,Media,No,'Ni Demo-Ni No Demo',NS/NR,Peru,'No muy satisfecho',Mala,Regular,'Un poco peor','No está progresando','Se ha mantenido igual','Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
'Poco - Nada','Casado/ Conviviente',Masculino,33,Media,Sí,'Ni Demo-Ni No Demo',Centro,Peru,'No muy satisfecho',Regular,Regular,'Un poco mejor','Está progresando',Mejorado,'Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Masculino,61,Media,Sí,'Ni Demo-Ni No Demo',Centro,Peru,'No muy satisfecho',Regular,Regular,Igual,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Femenino,26,Media,No,'Ni Demo-Ni No Demo',Centro,Peru,'No muy satisfecho',Regular,NS/NR,Igual,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
Mucho,Soltero,Femenino,19,Media,No,'Ni Demo-Ni No Demo',NS/NR,Peru,'Muy satisfecho',Regular,NS/NR,'Un poco mejor','Está progresando',NS/NR,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Justa,'En algunas circunstancias, un gobierno autoritario puede ser'
Bastante,Soltero,Masculino,35,'Media baja',No,'Ni Demo-Ni No Demo',Centro,Peru,'No muy satisfecho',Regular,'Muy mala',Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
NS/NR,'Casado/ Conviviente',Femenino,19,Baja,No,'Ni Demo-Ni No Demo',Centro,Peru,'Para nada satisfecho',Regular,'Muy buena',Igual,'Está progresando','Se ha mantenido igual','Para el bien de todo el pueblo','Seguirá igual','No tiene los medios',Mala,'Muy justa','La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Soltero,Femenino,55,Baja,No,'Ni Demo-Ni No Demo',Centro,Peru,'No muy satisfecho',Mala,Mala,NS/NR,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Empeorará,'Tiene los medios',Regular,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
'Poco - Nada','Casado/ Conviviente',Masculino,47,Media,Sí,'Ni Demo-Ni No Demo',Centro,Peru,'Muy satisfecho',Regular,Regular,Igual,'Está progresando',Mejorado,NS/NR,'Seguirá igual','No tiene los medios',Regular,NS/NR,'En algunas circunstancias, un gobierno autoritario puede ser'
'Poco - Nada','Casado/ Conviviente',Femenino,29,NS/NR,No,'Ni Demo-Ni No Demo',Centro,Peru,'No muy satisfecho','Muy mala',Mala,'Mucho peor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Mala,'Muy injusta','En algunas circunstancias, un gobierno autoritario puede ser'
'Poco - Nada','Casado/ Conviviente',Femenino,28,NS/NR,No,'Ni Demo-Ni No Demo',Centro,Peru,'No muy satisfecho','Muy mala','Muy mala','Un poco peor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Regular,'Muy injusta','En algunas circunstancias, un gobierno autoritario puede ser'
'Poco - Nada','Casado/ Conviviente',Femenino,41,NS/NR,No,'Ni Demo-Ni No Demo',Centro,Peru,'No muy satisfecho','Muy mala','Muy mala','Un poco peor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Mala,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Masculino,25,Baja,No,'Ni Demo-Ni No Demo',Centro,Peru,'No muy satisfecho',Regular,Regular,'Un poco peor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Mala,'Muy injusta','En algunas circunstancias, un gobierno autoritario puede ser'
'Poco - Nada','Casado/ Conviviente',Masculino,62,Baja,No,'Ni Demo-Ni No Demo',Centro,Peru,'No muy satisfecho',Regular,Regular,Igual,'No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Regular,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Masculino,64,NS/NR,No,'Ni Demo-Ni No Demo',Izquierda,Peru,'Para nada satisfecho',Regular,Regular,'Un poco peor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Regular,'Muy injusta','En algunas circunstancias, un gobierno autoritario puede ser'
'Poco - Nada','Casado/ Conviviente',Masculino,30,Baja,No,'Ni Demo-Ni No Demo',Centro,Peru,'No muy satisfecho',Mala,Mala,'Un poco mejor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Mala,'Muy injusta','En algunas circunstancias, un gobierno autoritario puede ser'
'Poco - Nada','Casado/ Conviviente',Femenino,46,Baja,No,'Ni Demo-Ni No Demo',Centro,Peru,'No muy satisfecho',Regular,Regular,'Un poco peor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Mala,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Soltero,Femenino,23,Baja,No,'Ni Demo-Ni No Demo',Centro,Peru,'No muy satisfecho',Mala,Mala,'Un poco peor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Regular,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
