"P37ST","S15","S16","S17","S14","S28D","P49ST.A","P49ST.B","P49ST.E","P76ST","P10ST","P4ST","S1NICC7","P6ST","P12ST","P13ST","IDENPA"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",51,"Media baja","No","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","NS/NR","Está estancado","Un poco peor","Mucho","Mala","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Chile"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",42,"Media baja","No","01 No es democrático","10 Totalmente democrático","10 Totalmente democrático","4","Está progresando","Un poco mejor","Poco","Buena","Justa","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"La política no es tan complicada y se entiende","Soltero","Femenino",19,"Media","Sí","8","5","6","1","Está progresando","Un poco mejor","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política no es tan complicada y se entiende","Soltero","Femenino",28,"Media baja","Sí","4","6","6","NS/NR","Está progresando","Igual","Bastante","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Chile"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",25,"Media","Sí","7","6","7","5","Está progresando","Un poco mejor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",50,"Media baja","Sí","6","7","NS/NR","5","Está estancado","Un poco peor","Mucho","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",28,"Media","No","4","8","7","8","Está estancado","Un poco mejor","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",86,"Baja","No","7","8","8","NS/NR","Está progresando","Un poco mejor","Nada","Regular","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"La política es tan complicada que no se entiende","Soltero","Femenino",20,"Media","Sí","4","6","3","5","Está progresando","Un poco mejor","Bastante","Buena","Justa","A la gente como uno, nos da lo mismo un régimen democrático","Ecuador"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",43,"Media alta","Sí","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","5","Está progresando","Mucho mejor","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",40,"NS/NR","No","4","6","NS/NR","5","Está estancado","Un poco peor","Bastante","Buena","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Paraguay"
"La política no es tan complicada y se entiende","Soltero","Femenino",21,"Media baja","Sí","6","6","6","3","Está progresando","Un poco mejor","Bastante","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Uruguay"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",50,"Media baja","No","5","2","5","5","Está estancado","Igual","Bastante","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Uruguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",24,"Media baja","No","7","9","6","4","Está estancado","Igual","Poco","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política es tan complicada que no se entiende","Soltero","Femenino",17,"Baja","No","8","8","8","NS/NR","Está estancado","NS/NR","Mucho","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",73,"Baja","Sí","6","8","8","7","Está progresando","Un poco mejor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",76,"Baja","No","8","10 Totalmente democrático","10 Totalmente democrático","9","Está en retroceso","Un poco mejor","NS/NR","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política es tan complicada que no se entiende","Soltero","Masculino",61,"Media baja","Sí","7","9","8","7","Está estancado","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",70,"Media baja","No","7","6","4","3","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Soltero","Femenino",21,"Media baja","Sí","8","9","5","6","Está estancado","Un poco peor","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"La política no es tan complicada y se entiende","Soltero","Femenino",61,"Media baja","No","9","10 Totalmente democrático","7","5","Está en retroceso","Igual","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política no es tan complicada y se entiende","Soltero","Masculino",26,"Media","Sí","8","8","8","5","Está progresando","Un poco mejor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",78,"Media","No","10 Totalmente democrático","7","7","5","Está progresando","Igual","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",56,"Media","No","8","10 Totalmente democrático","10 Totalmente democrático","5","Está progresando","Igual","NS/NR","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",25,"Media","No","6","6","6","5","Está estancado","Un poco mejor","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política es tan complicada que no se entiende","Soltero","Masculino",20,"Media","Sí","4","7","6","5","Está progresando","Igual","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",59,"NS/NR","No","10 Totalmente democrático","3","NS/NR","1","Está progresando","Igual","NS/NR","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Soltero","Femenino",41,"Media baja","Sí","5","6","3","5","Está estancado","Un poco peor","Mucho","Buena","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Brazil"
"La política es tan complicada que no se entiende","Soltero","Masculino",23,"Media alta","No","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","9","Está estancado","Igual","Mucho","Muy buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",53,"Baja","No","5","5","5","8","Está estancado","Igual","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",58,"Baja","No","7","9","8","NS/NR","Está progresando","Mucho mejor","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política no es tan complicada y se entiende","Soltero","Masculino",19,"Media baja","Sí","8","8","5","7","Está progresando","Un poco mejor","Mucho","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Brazil"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",78,"Media baja","No","5","6","5","8","Está en retroceso","Un poco peor","Mucho","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",40,"Media","No","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","6","Está en retroceso","Igual","Bastante","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Peru"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",40,"Baja","No","7","9","6","NS/NR","Está en retroceso","Un poco mejor","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",32,"Media baja","No","7","7","7","5","Está estancado","Igual","Poco","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Venezuela"
"La política no es tan complicada y se entiende","Soltero","Masculino",73,"Media","No","8","10 Totalmente democrático","9","8","Está progresando","Un poco mejor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",76,"Baja","No","8","9","3","6","Está estancado","Un poco peor","Mucho","Mala","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Brazil"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",40,"Baja","No","5","7","7","NS/NR","Está estancado","Igual","Mucho","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política no es tan complicada y se entiende","Soltero","Femenino",18,"Media","No","6","9","8","5","Está progresando","Un poco mejor","Poco","Buena","Justa","A la gente como uno, nos da lo mismo un régimen democrático","Bolivia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",64,"Media","Sí","7","7","7","NS/NR","Está estancado","Un poco peor","NS/NR","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política no es tan complicada y se entiende","Soltero","Masculino",22,"Media","No","7","10 Totalmente democrático","NS/NR","NS/NR","Está progresando","Igual","NS/NR","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",60,"Baja","Sí","4","5","4","4","Está progresando","Igual","Bastante","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Peru"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",40,"Media","No","10 Totalmente democrático","9","2","00 Izquierda","Está progresando","Un poco peor","NS/NR","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",39,"Media","Sí","8","8","NS/NR","5","Está estancado","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",75,"Baja","No","7","3","5","00 Izquierda","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",40,"Media","Sí","8","7","7","2","Está progresando","Un poco mejor","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política es tan complicada que no se entiende","Soltero","Masculino",19,"Media baja","No","7","5","5","NS/NR","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",49,"Media baja","Sí","6","8","6","5","Está estancado","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",39,"Media baja","No","9","8","9","3","Está estancado","Un poco mejor","Nada","Buena","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",55,"Media baja","Sí","10 Totalmente democrático","5","6","00 Izquierda","Está progresando","Mucho mejor","NS/NR","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",36,"Media baja","Sí","9","10 Totalmente democrático","9","3","Está progresando","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",63,"Media","No","8","8","9","9","Está estancado","Un poco peor","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",53,"Media baja","No","4","4","4","5","Está progresando","Un poco mejor","Mucho","Buena","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Chile"
"La política no es tan complicada y se entiende","Soltero","Femenino",27,"Media","Sí","6","5","6","NS/NR","Está estancado","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",65,"Baja","No","4","5","NS/NR","3","Está estancado","Igual","NS/NR","Mala","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",40,"Media","Sí","4","5","6","NS/NR","Está en retroceso","Igual","Mucho","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",30,"Media alta","No","10 Totalmente democrático","7","8","8","Está progresando","Mucho mejor","Poco","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",54,"Media","No","8","7","7","NS/NR","Está progresando","Un poco mejor","Bastante","Buena","Justa","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",57,"Media","Sí","7","6","6","00 Izquierda","Está progresando","Igual","Mucho","Buena","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",37,"Media baja","No","8","9","8","8","Está en retroceso","Un poco mejor","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",45,"Baja","No","6","6","6","5","Está en retroceso","Un poco peor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Soltero","Masculino",21,"Media","Sí","8","8","8","5","Está en retroceso","Un poco mejor","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",60,"Media","Sí","4","6","6","5","Está progresando","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",42,"Media baja","Sí","8","6","3","8","Está estancado","Igual","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",31,"Media baja","No","8","7","8","3","Está progresando","Un poco mejor","Bastante","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",30,"Media","No","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","9","Está estancado","Igual","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política es tan complicada que no se entiende","Soltero","Femenino",64,"Baja","No","7","9","8","4","Está estancado","Un poco peor","Poco","Mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",25,"Media","Sí","8","8","8","5","Está progresando","Un poco peor","Bastante","Buena","Justa","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",66,"Media","Sí","9","8","7","4","Está estancado","Mucho peor","Mucho","Mala","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",25,"Media","Sí","5","5","6","2","Está progresando","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",29,"Media baja","No","6","5","7","NS/NR","Está estancado","Un poco peor","Bastante","Regular","Injusta","NS/NR","Bolivia"
"La política no es tan complicada y se entiende","Soltero","Masculino",30,"Media baja","Sí","6","8","8","3","Está progresando","Un poco mejor","Bastante","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",43,"Media","Sí","5","4","5","5","Está en retroceso","Igual","Mucho","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",54,"Baja","No","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","9","Está progresando","Un poco mejor","Poco","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",49,"Media","Sí","7","9","10 Totalmente democrático","8","Está estancado","Un poco mejor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política es tan complicada que no se entiende","Soltero","Masculino",25,"Media","Sí","8","3","7","4","Está progresando","Un poco mejor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",40,"Media","Sí","10 Totalmente democrático","5","10 Totalmente democrático","5","Está progresando","Un poco mejor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política no es tan complicada y se entiende","Soltero","Femenino",29,"Media baja","No","7","5","5","5","Está estancado","Un poco peor","Bastante","Mala","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Venezuela"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",40,"Media baja","No","10 Totalmente democrático","10 Totalmente democrático","NS/NR","2","Está estancado","Un poco peor","Nada","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política no es tan complicada y se entiende","Soltero","Masculino",22,"Media","No","5","6","6","5","Está estancado","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política es tan complicada que no se entiende","Soltero","Femenino",34,"Media","No","01 No es democrático","6","5","10 Derecha","Está en retroceso","Mucho peor","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",36,"Media","No","8","6","6","NS/NR","Está progresando","Un poco mejor","Mucho","Buena","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Brazil"
"La política no es tan complicada y se entiende","Soltero","Masculino",19,"Media","Sí","9","8","8","NS/NR","Está progresando","Un poco mejor","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",65,"Media","Sí","NS/NR","NS/NR","NS/NR","5","Está en retroceso","Igual","Poco","Buena","Injusta","NS/NR","Brazil"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",25,"Baja","No","8","8","5","5","Está estancado","Un poco mejor","Bastante","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",42,"Media baja","No","6","7","6","6","Está en retroceso","Igual","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",61,"Media","Sí","6","5","7","5","Está estancado","NS/NR","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política no es tan complicada y se entiende","Soltero","Femenino",42,"Media baja","Sí","10 Totalmente democrático","10 Totalmente democrático","8","4","Está estancado","Un poco peor","Mucho","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política no es tan complicada y se entiende","Soltero","Masculino",26,"Media","Sí","3","3","9","1","Está progresando","Un poco mejor","Bastante","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Ecuador"
"La política no es tan complicada y se entiende","Soltero","Femenino",19,"Media baja","Sí","7","8","6","5","Está estancado","Un poco mejor","Bastante","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"La política no es tan complicada y se entiende","Soltero","Masculino",25,"Media","Sí","3","8","8","5","Está estancado","Igual","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",34,"Media baja","No","6","5","6","7","Está progresando","Mucho mejor","Poco","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Brazil"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",38,"Media alta","Sí","7","8","7","7","Está progresando","Un poco mejor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"La política es tan complicada que no se entiende","Soltero","Femenino",23,"Media","No","8","4","01 No es democrático","2","Está progresando","Un poco mejor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",27,"Media","No","6","9","8","2","Está estancado","Un poco peor","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Venezuela"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",60,"Media","Sí","8","7","5","9","Está estancado","Igual","Bastante","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",54,"Media","No","9","10 Totalmente democrático","9","2","Está en retroceso","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política no es tan complicada y se entiende","Soltero","Femenino",17,"Media","Sí","5","5","5","7","Está progresando","Un poco mejor","Mucho","Muy buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política es tan complicada que no se entiende","Soltero","Masculino",29,"Media","Sí","6","5","6","4","Está progresando","Un poco mejor","Bastante","Mala","Justa","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",60,"Baja","Sí","6","8","9","5","Está en retroceso","Igual","Mucho","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",75,"Baja","No","5","9","9","1","Está estancado","Igual","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Ecuador"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",33,"Media","Sí","NS/NR","NS/NR","NS/NR","5","Está progresando","Un poco mejor","Bastante","Buena","Injusta","NS/NR","Uruguay"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",32,"Media baja","No","5","5","6","4","NS/NR","Un poco peor","Bastante","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"La política es tan complicada que no se entiende","Soltero","Masculino",28,"Media","No","8","7","6","3","Está estancado","Igual","Mucho","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Brazil"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",34,"Media","Sí","9","9","9","5","Está progresando","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",53,"Media","No","5","10 Totalmente democrático","10 Totalmente democrático","7","Está progresando","Un poco peor","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política es tan complicada que no se entiende","Soltero","Masculino",26,"Media baja","Sí","6","7","6","5","Está progresando","Mucho mejor","Poco","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",80,"Baja","No","9","5","7","5","Está progresando","Un poco mejor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política es tan complicada que no se entiende","Soltero","Masculino",19,"Media","Sí","6","4","7","NS/NR","Está estancado","Igual","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",50,"Media baja","No","5","8","8","5","Está en retroceso","Mucho peor","Mucho","Muy mala","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Ecuador"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",53,"Media","No","6","8","9","NS/NR","Está estancado","Un poco peor","Mucho","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Paraguay"
"La política no es tan complicada y se entiende","Soltero","Masculino",28,"Media","No","10 Totalmente democrático","10 Totalmente democrático","8","5","Está progresando","Mucho mejor","Poco","Muy buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",76,"Media baja","No","7","8","7","6","Está progresando","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",59,"Media baja","No","7","NS/NR","7","NS/NR","Está progresando","Igual","Mucho","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",85,"Media","No","8","6","8","8","Está progresando","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",80,"Baja","No","9","9","8","NS/NR","Está progresando","Un poco mejor","Bastante","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Chile"
"La política no es tan complicada y se entiende","Soltero","Femenino",25,"Baja","Sí","6","3","8","NS/NR","Está progresando","Igual","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",53,"Baja","No","5","NS/NR","NS/NR","NS/NR","Está estancado","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",81,"Media","No","8","8","8","1","Está progresando","Igual","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",18,"Media","No","7","9","6","6","Está estancado","Igual","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política no es tan complicada y se entiende","Soltero","Femenino",29,"Baja","No","10 Totalmente democrático","6","8","NS/NR","Está progresando","Igual","NS/NR","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",46,"Media","Sí","6","4","3","5","Está progresando","Igual","Poco","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Venezuela"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",83,"Media","Sí","4","5","8","3","Está en retroceso","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",52,"Media baja","No","7","8","8","5","Está en retroceso","Igual","Poco","Mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",59,"Media baja","Sí","4","5","4","NS/NR","Está estancado","Un poco peor","Poco","Regular","NS/NR","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",59,"Baja","No","NS/NR","NS/NR","NS/NR","NS/NR","Está estancado","Igual","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Bolivia"
